台風番号,種別,年月日,曜日,都道府県,地点,時間,気圧(hPa),風速(kt)
195106,上陸,1951-07-01,日,高知,高知清水と宿毛の間,22時,976,90
195106,再上陸,1951-07-02,月,兵庫,神戸付近,9時,993,
195115,上陸,1951-10-14,日,鹿児島,串木野付近,19時,952,75
195202,上陸,1952-06-23,月,静岡,浜名湖付近,23時,970,55
195204,上陸,1952-07-15,火,鹿児島,（大隅半島）,9時,998,30
195209,上陸,1952-08-19,火,北海道,（渡島半島）,21時,990,40
195302,上陸,1953-06-07,日,熊本,南部（八代市付近）,9時,988,45
195313,上陸,1953-09-25,金,三重,志摩半島付近,17時過ぎ,930,65
195313,再上陸,1953-09-25,金,愛知,（知多半島）,,,
195405,上陸,1954-08-18,水,鹿児島,西部（薩摩川内市付近）,3時,940,100
195405,再上陸,1954-08-18,水,愛媛,（宇和島市付近）,15時,970,
195405,再上陸,1954-08-19,木,兵庫,（明石市付近）,3時,980,
195412,上陸,1954-09-13,月,鹿児島,薩摩半島開聞岳付近,15時,955,100
195413,上陸,1954-09-07,火,鹿児島,大隅半島東岸,15時,960,80
195414,上陸,1954-09-18,土,静岡,（伊豆半島付近）,21時,976,60
195414,通過,1954-09-18,土,神奈川,（三浦半島付近）,,,
195414,再上陸,1954-09-18,土,千葉,（木更津市付近）,,,
195415,上陸,1954-09-25,土,鹿児島,（薩摩半島）,21時,970,75
195415,再上陸,1954-09-26,日,広島,（呉市と竹原市の間）,,,
195508,上陸,1955-07-16,土,宮崎,宮崎市付近,15時,995,50
195522,上陸,1955-09-29,木,鹿児島,薩摩半島付近,22時過ぎ,940,70
195523,上陸,1955-10-04,火,山口,（防府市付近）,3時,985,60
195523,再上陸,1955-10-05,水,秋田,（酒田市付近）,,,
195526,上陸,1955-10-20,木,和歌山,田辺市付近,12時,985,50
195603,上陸,1956-04-25,水,鹿児島,大隅半島付近,3時,997,60
195609,上陸,1956-08-18,土,北海道,（渡島半島）,21時,994,35
195615,上陸,1956-09-27,木,静岡,（伊豆半島）,9時,968,70
195615,再上陸,1956-09-27,木,神奈川,（藤沢市付近）,,,
195615,再上陸,1956-09-27,木,千葉,（習志野市）,,,
195710,上陸,1957-09-06,金,鹿児島,大隅半島（指宿市付近）,20時,958,85
195710,再上陸,1957-09-06,金,鹿児島,（鹿屋市付近）,21時,956,
195710,再上陸,1957-09-07,土,愛媛,宇和島市付近,9時,982,
195710,再上陸,1957-09-07,土,兵庫,赤穂市付近,,,
195811,上陸,1958-07-23,水,静岡,（御前崎市付近）,3時,970,75
