観測所ID,地点名,かな,都道府県,地方,緯度,経度,標高(m),種別,観測要素,気象庁ページURL,状態,観測期間
11001,宗谷岬,ソウヤミサキ,北海道,北海道,45.52,141.935,26,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=11&block_no=1284&year=&month=&day=&view=,現役,
11016,稚内,ワッカナイ,北海道,北海道,45.415,141.678333,3,気象台等,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=11&block_no=47401&year=&month=&day=&view=,現役,
11046,礼文,レブン,北海道,北海道,45.305,141.045,65,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=11&block_no=1546&year=&month=&day=&view=,現役,
11061,声問,コエトイ：稚内空港,北海道,北海道,45.403333,141.801667,8,アメダス,気温 / 降水量 / 風 / 積雪,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=11&block_no=1528&year=&month=&day=&view=,現役,
11076,浜鬼志別,ハマオニシベツ,北海道,北海道,45.335,142.17,13,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=11&block_no=1285&year=&month=&day=&view=,現役,
11091,本泊,モトドマリ：利尻空港,北海道,北海道,45.241667,141.186667,30,アメダス,気温 / 降水量 / 風,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=11&block_no=1512&year=&month=&day=&view=,現役,
11121,沼川,ヌマカワ,北海道,北海道,45.248333,141.851667,23,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=11&block_no=1203&year=&month=&day=&view=,現役,
11151,沓形,クツガタ,北海道,北海道,45.178333,141.138333,14,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=11&block_no=0002&year=&month=&day=&view=,現役,
11176,豊富,トヨトミ,北海道,北海道,45.101667,141.78,14,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=11&block_no=1054&year=&month=&day=&view=,現役,
11206,浜頓別,ハマトンベツ,北海道,北海道,45.125,142.35,18,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=11&block_no=0003&year=&month=&day=&view=,現役,
11276,中頓別,ナカトンベツ,北海道,北海道,44.965,142.28,25,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=11&block_no=1051&year=&month=&day=&view=,現役,
11291,北見枝幸,キタミエサシ,北海道,北海道,44.94,142.585,7,気象台等,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=11&block_no=47402&year=&month=&day=&view=,現役,
11316,歌登,ウタノボリ,北海道,北海道,44.841667,142.48,14,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=11&block_no=0005&year=&month=&day=&view=,現役,
12011,中川,ナカガワ,北海道,北海道,44.828333,142.076667,22,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=1201&year=&month=&day=&view=,現役,
12041,音威子府,オトイネップ,北海道,北海道,44.726667,142.265,40,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=1197&year=&month=&day=&view=,現役,
12141,美深,ビフカ,北海道,北海道,44.48,142.341667,77,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=0006&year=&month=&day=&view=,現役,
12181,名寄,ナヨロ,北海道,北海道,44.37,142.456667,89,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=0008&year=&month=&day=&view=,現役,
12231,下川,シモカワ,北海道,北海道,44.295,142.636667,143,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=0010&year=&month=&day=&view=,現役,
12261,士別,シベツ,北海道,北海道,44.186667,142.416667,135,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=0011&year=&month=&day=&view=,現役,
12266,朝日,アサヒ,北海道,北海道,44.118333,142.595,225,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=1047&year=&month=&day=&view=,現役,
12301,和寒,ワッサム,北海道,北海道,44.028333,142.41,150,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=1055&year=&month=&day=&view=,現役,
12386,江丹別,エタンベツ,北海道,北海道,43.87,142.26,140,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=1191&year=&month=&day=&view=,現役,
12396,比布,ピップ,北海道,北海道,43.87,142.47,164,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=1048&year=&month=&day=&view=,現役,
12411,上川,カミカワ,北海道,北海道,43.846667,142.753333,324,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=0015&year=&month=&day=&view=,現役,
12442,旭川,アサヒカワ,北海道,北海道,43.756667,142.371667,120,気象台等,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=47407&year=&month=&day=&view=,現役,
12451,東川,ヒガシカワ,北海道,北海道,43.701667,142.508333,215,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=1184&year=&month=&day=&view=,現役,
12501,東神楽,ヒガシカグラ：旭川空港,北海道,北海道,43.67,142.446667,211,アメダス,気温 / 降水量 / 風 / 積雪,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=1458&year=&month=&day=&view=,現役,
12512,志比内,シビナイ,北海道,北海道,43.643333,142.581667,310,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=1185&year=&month=&day=&view=,現役,
12551,美瑛,ビエイ,北海道,北海道,43.588333,142.493333,250,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=1052&year=&month=&day=&view=,現役,
